source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
2,1336,1,0,18,-0.4013,-0.3732,-0.3633,-0.4594,1.8095,training
2,1336,1,0,19,-0.3895,-0.3669,-0.3608,-0.3943,2.7136,training
2,1336,1,0,21,-0.3934,-0.3682,-0.362,-0.4493,1.8656,training
3,85,1,0,16,-0.4381,-0.4129,-0.3939,-0.4114,4.0714,training
3,85,1,0,17,-0.4329,-0.4112,-0.3919,-0.4586,2.5442,training
3,85,1,0,18,-0.4338,-0.4109,-0.392,-0.4657,2.4061,training
3,85,1,0,19,-0.4329,-0.4099,-0.3907,-0.4822,1.9333,training
3,263,1,0,14,-0.4171,-0.3991,-0.3859,-0.3633,4.2222,training
3,263,1,0,15,-0.4217,-0.3994,-0.3852,-0.3918,3.78,training
3,263,1,0,16,-0.4191,-0.3995,-0.3852,-0.399,3.5155,training
3,263,1,0,17,-0.4197,-0.4002,-0.3864,-0.435,2.7155,training
3,263,1,0,18,-0.4112,-0.3932,-0.3805,-0.443,2.331,training
3,263,1,0,19,-0.4119,-0.3979,-0.3861,-0.4455,2.2861,training
3,263,1,0,20,-0.4276,-0.4132,-0.398,-0.4796,1.875,training
4,2,0,1,17,3.3272,3.2824,3.4144,2.7568,1.7945,training
4,2,0,1,19,3.3219,3.2805,3.4098,2.6481,1.7379,training
4,2,0,1,21,3.314,3.2742,3.4097,2.4976,1.6598,training
4,2,0,1,22,3.3035,3.2692,3.4087,2.5406,1.6878,training
4,5,0,1,1,-0.2646,-0.2891,-0.2852,-0.3684,1.5745,training
4,5,0,1,2,-0.2331,-0.2745,-0.2744,-0.3549,1.4946,training
4,5,0,1,10,-0.2436,-0.2799,-0.2777,-0.2662,2.264,training
4,5,0,1,11,-0.2418,-0.2799,-0.2768,-0.3532,1.5558,training
4,5,0,1,12,-0.2554,-0.282,-0.2804,-0.3488,1.6739,training
4,5,0,1,13,-0.2541,-0.2862,-0.2812,-0.3684,1.5102,training
4,5,0,1,16,-0.2225,-0.2704,-0.2725,-0.3798,1.2636,training
4,5,0,1,17,-0.2515,-0.2815,-0.2766,-0.3798,1.402,training
4,5,0,1,18,-0.2225,-0.2708,-0.2728,-0.4038,1.0909,training
4,5,0,1,19,-0.2541,-0.281,-0.2759,-0.3659,1.5306,training
