hub_name,hub_number,bottleneck_score,delay_ratio,delay_hours,sla_breach,sla_breach_contribution,betweenness_centrality,closeness_centrality,degree_centrality
Puttaprthi_Gokulam_D (Andhra Pradesh),106,0.101887,0.9187983343248067,0.16319999999999998,0.0,0.02558462879973897,0.002461439905386094,0.09612257187231814,0.0032030749519538753
Hindupur_Parigi_D (Andhra Pradesh),107,0.100165,0.9648609077598829,0.25880000000000003,0.0,0.015293943253740542,0.0008323888368731418,0.08375349980651477,0.0019218449711723253
GreaterThane_Anjur_C (Maharashtra),108,0.064034,1.037762634866553,0.022399999999999975,0.0,0.1932729569635052,0.0,0.0,0.0006406149903907751
Hyderabad_Shamshbd_H (Telangana),109,0.379464,1.0520988479893008,29.1936,0.0,0.656493562335327,0.09004755091626167,0.1609308896550442,0.03587443946188341
Patancheru_Ameenpur_I (Telangana),110,0.128014,1.07581435572211,3.6098,0.0,0.03069969114899487,0.0012274347476141198,0.12912885511158997,0.0025624599615631004
Del_Okhla_PC (Delhi),111,0.104791,1.1756954612005857,3.4007,0.0,0.0004379015125956776,0.002625837042877402,0.10552887407664475,0.005124919923126201
Bengaluru_KHRoad_I (Karnataka),112,0.073754,1.0235876052653092,1.0539,0.0,0.0015932161415715097,0.0,0.1319427385996274,0.0032030749519538753
Muzaffrpur_Bbganj_I (Bihar),113,0.321918,0.9247946611909651,73.03219999999999,0.0,0.002524921487519759,0.024732461111384878,0.14132282194332685,0.016655989750160152
Darbhanga (Bihar),114,0.114051,1.159310761789601,0.5008,0.0,0.07152236088171748,0.0008323888368731418,0.11615233693687721,0.0012812299807815502
Benipur_Javahar_D (Bihar),115,0.105866,19.176470588235293,0.04500000000000004,0.0,0.05911670420041652,0.000821301269731763,0.09859240789891491,0.0012812299807815502
Jhanjharpur_Nagar_D (Bihar),116,0.129276,-9.363636363636363,13.8568,0.0,0.21080299304752156,0.0008102137025903843,0.08564463774660476,0.0012812299807815502
Dhule_MIDCAvdn_I (Maharashtra),117,0.119242,-4.768518518518518,20.7147,0.0,0.0,0.003300193827099657,0.003706415301546628,0.008968609865470852
Sakri_DhuleRoad_D (Maharashtra),118,0.025251,-7.963636363636364,4.261,0.0,0.0,0.00020573596806780663,0.0028827674567584883,0.0032030749519538753
Nandurbar_DhuleRd_D (Maharashtra),119,0.037779,-9.827272727272728,0.0,0.0,0.06351901196002202,4.106506348658815e-06,0.0030523420130383993,0.004484304932735426
Shahada_Nandrbar_D (Maharashtra),120,0.046436,0.950910530482977,1.8840000000000001,0.0,0.1273874134247746,0.00041249856272277795,0.002358627919166036,0.004484304932735426
Shirpur_KrantiNgr_D (Maharashtra),121,0.055419,-6.7914110429447865,12.0153,0.0,0.008105836509749786,0.00020676259465497135,0.002731042853771199,0.0025624599615631004
Hooghly_DC (West Bengal),122,0.01559,1.0634158059092,0.8233999999999999,0.0,0.09044995498465622,1.642602539463526e-06,0.0016015374759769379,0.0012812299807815502
Hoogly_Bandel_D (West Bengal),123,0.014784,1.0710939652796914,1.4538,0.0,0.0,2.8745544440611705e-06,0.0012319519045976446,0.0012812299807815502
GZB_Mohan_Nagar_DPC (Uttar Pradesh),124,0.132424,0.9645266050462153,1.1459,0.0,0.016207014492769824,0.0038433897762853476,0.1426978548054781,0.007046764894298526
Pilkhuwa_HapurRD_D (Uttar Pradesh),125,0.115562,0.8249506903353057,0.3432999999999999,0.0,0.0,0.0008217119203666289,0.11707957751913008,0.0025624599615631004
Ahmedabad_Paldi_D (Gujarat),126,0.060163,0.7930341594105829,0.03809999999999997,0.0,0.003428675673089565,0.0,0.0,0.0006406149903907751
Bengaluru_Peenya_IP (Karnataka),127,0.085632,1.0688414683999672,0.6491,0.0,0.14107416495675443,1.0950683596423506e-06,0.1319427385996274,0.0038436899423446506
Sedam_DBRCmplx_D (Karnataka),128,0.103783,0.7729831144465291,0.0,0.0,0.0018587521651667605,4.106506348658815e-07,0.09296768255744983,0.0025624599615631004
Chincholi_Mainroad_D (Karnataka),129,0.119893,0.5666235446313066,4.2419,0.0,0.049850894534961165,0.00041044530954844856,0.10842411343442358,0.0025624599615631004
Dindigul_Central_D_1 (Tamil Nadu),130,0.063186,0.0007507507507507507,0.0,0.0,0.0,4.106506348658815e-06,0.0006406149903907751,0.0019218449711723253
Oddnchtram_Palani_D (Tamil Nadu),131,0.061839,0.7762893503014067,0.0,0.0,0.0,3.285205078927052e-06,0.0008541533205210334,0.0012812299807815502
Palani_RjndraRd_D (Tamil Nadu),132,0.061887,0.924320827943079,0.0,0.0,0.0,3.6958557137929336e-06,0.0009609224855861628,0.0012812299807815502
Kodaikanal_Athithnr_DC (Tamil Nadu),133,0.061961,-0.5266647448832517,0.0,0.0,0.003815333391658088,3.285205078927052e-06,0.0010249839846252402,0.0012812299807815502
Batlagundu_RTOofice_D (Tamil Nadu),134,0.063191,1.1952447552447554,0.0,0.0,0.06110123658728631,2.0532531743294074e-06,0.001067691650651292,0.0012812299807815502
Villupuram_Thirumtr_IP (Tamil Nadu),135,0.124991,-6.446428571428571,0.33879999999999993,0.0,0.0,0.004913845496805138,0.1216997194311887,0.0038436899423446506
Panruti_GandhiRd_D (Tamil Nadu),136,0.113509,0.9228680065181966,0.006500000000000006,0.0,0.3243871917720728,0.00166313507120682,0.10259250403782626,0.0012812299807815502
Neyveli_NJVNgr_D (Tamil Nadu),137,0.10141,0.8330494037478705,0.014899999999999969,0.0,0.021988246164378722,0.0016520475040654413,0.08867090937462532,0.0012812299807815502
Virudhchlm_SelamRd_D (Tamil Nadu),138,0.096461,0.9245184799583551,0.014899999999999969,0.0,0.0,0.0016409599369240624,0.07807613610260693,0.0012812299807815502
