,source_number,destination_number,osrm_time,osrm_distance
248,31,1487,15.75,19.4031875
249,31,1540,11.956521739130435,15.407126086956522
250,32,2,198.0,264.3874333333333
251,32,4,863.3571428571429,1193.2700785714285
252,32,31,187.2,260.07887999999997
253,32,57,291.5,395.0903666666666
254,32,102,841.5384615384615,1118.8450076923077
255,32,339,122.75,169.0732875
256,32,600,75.9,104.32347999999999
257,32,1611,11.0,10.9696
258,33,34,23.0,32.40916428571428
259,33,1367,95.0,133.982325
260,33,1368,84.0,107.4206
261,33,1560,59.0,74.0993
262,34,35,28.8,41.41330666666667
263,35,36,21.2,30.779013333333335
264,36,37,15.076923076923077,21.511369230769233
265,37,57,231.16666666666666,318.6784416666667
266,38,85,12.333333333333334,12.903733333333333
267,38,263,13.833333333333334,13.543816666666666
268,39,4,45.45454545454545,36.58274545454545
269,39,5,32.78947368421053,27.569736842105264
270,40,41,35.0,49.54145
271,41,30,79.57142857142857,93.38072857142856
272,42,43,25.4,27.959929999999996
273,43,42,26.4,28.50038
274,44,125,19.666666666666668,18.804326666666668
275,45,1482,54.18181818181818,36.018136363636366
276,46,176,203.16666666666666,225.8400333333333
277,47,49,147.0,168.47979999999998
278,47,510,68.75,96.740725
279,48,49,45.333333333333336,63.176649999999995
280,49,24,126.8,166.15653
281,50,51,26.5,27.069875
282,50,435,39.583333333333336,42.14833333333333
283,50,519,33.375,36.4149125
284,50,596,60.125,81.39795000000001
285,50,1369,62.0,66.1726
286,51,52,27.666666666666668,29.1125
287,52,53,75.42857142857143,81.7906
288,52,1148,46.0,62.0344
289,53,1148,36.666666666666664,29.878816666666665
290,54,31,16.5,19.665085714285713
291,55,4,426.5,483.7143125
292,55,56,30.1,29.030399999999997
293,55,275,79.0,80.0405
294,55,289,48.53846153846154,53.76521538461539
295,55,344,79.36363636363636,79.29746363636364
296,55,521,57.0,59.80505
297,55,1418,25.5,22.9574125
298,56,193,19.8,17.24136
299,57,2,100.48913043478261,128.5149347826087
300,57,4,615.8,841.38698
301,57,30,1014.3076923076923,1361.4573923076923
302,57,33,321.8,446.94454666666667
303,57,58,212.1764705882353,281.3784117647059
304,57,85,103.4,130.99305999999999
305,57,109,480.1818181818182,632.4005636363637
306,57,171,354.0,487.6291
307,57,227,220.3846153846154,249.21006153846156
308,57,256,28.0,28.342950000000002
309,57,292,106.66666666666667,141.43063333333333
310,57,320,172.0,235.94473333333335
311,57,340,27.774193548387096,26.204435483870967
312,57,380,26.142857142857142,24.8134
313,57,382,212.0,276.3396
314,57,416,389.0,511.210955
315,57,436,683.8,911.9772300000001
316,57,739,28.625,26.2335375
317,57,873,12.473684210526315,10.88548947368421
318,58,2,297.22222222222223,397.4292777777778
319,58,109,269.09090909090907,351.64327272727274
320,58,382,47.714285714285715,64.76340714285713
321,58,948,53.0,73.250975
322,59,60,48.25,62.967025
323,59,365,49.5,56.21645
324,60,365,69.45454545454545,94.31562727272727
325,60,366,83.0,96.2851
326,61,30,929.5,1269.4809
327,61,62,94.85714285714286,134.5703
328,61,63,81.33333333333333,113.68419999999999
329,61,64,67.0,92.8987
330,61,355,30.642857142857142,43.10124285714286
331,61,845,20.0,29.23857272727273
332,61,1012,17.0,24.7521
333,61,1330,48.0,67.3785
334,62,63,33.285714285714285,36.205885714285714
335,62,65,21.0,29.7371
336,63,62,32.0,34.7827
337,63,64,17.333333333333332,22.536608333333334
338,64,63,17.0,22.5405
339,64,65,24.76923076923077,35.41806153846154
340,65,61,75.33333333333333,106.78694666666667
341,66,67,22.0,24.487
342,66,93,318.0,445.6147
343,66,109,432.7,602.45005
344,66,145,18.9,22.11264
345,66,147,54.0,68.91839999999999
346,66,365,133.0,181.73559999999998
347,66,779,82.26666666666667,112.12400666666667
348,66,797,152.0,211.1522
349,66,798,167.0,231.25469999999999
350,66,1542,15.5,16.133983333333333
351,67,66,22.0,24.7421
352,67,68,36.0,42.337
353,68,67,43.0,48.3598
354,69,30,852.75,1162.715275
355,69,70,31.714285714285715,43.79188571428572
356,69,528,127.14285714285714,169.6352642857143
357,69,905,89.28571428571429,123.56910714285713
358,69,1084,86.77777777777777,119.83330000000001
359,70,71,37.142857142857146,49.106457142857145
