data,source_number,destination_number,is_carting,is_ftl,day_of_week,start_hour,is_day,is_night,is_cutoff,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor
training,168,169,1,0,3,1,0,1,0,25.0,18.1421,16.17116226739506,28.0,1.12
training,169,170,1,0,3,2,0,1,0,30.0,35.637800000000006,30.72025920921534,46.0,1.5333333333333334
training,170,869,1,0,3,3,0,1,0,73.0,104.7274,82.25763582293469,150.0,2.054794520547945
training,18,176,0,1,1,14,1,0,0,62.0,87.8593,87.05764536065027,136.0,2.193548387096774
training,109,57,0,1,3,19,1,0,0,448.0,596.8115,514.7068907012,1032.0,2.3035714285714284
training,4,900,1,0,0,23,0,1,0,32.0,32.0831,23.697575148517867,74.0,2.3125
training,178,442,1,0,2,8,1,0,0,20.0,18.8641,14.92330078607824,25.0,1.25
training,179,109,1,0,4,13,1,0,0,22.0,27.1835,22.452478367322023,123.0,5.590909090909091
training,113,180,0,1,6,21,0,1,0,81.0,102.2391,66.15081703721658,179.0,2.2098765432098766
training,180,181,0,1,0,1,0,1,0,58.0,73.23780000000001,65.7756940598958,143.0,2.4655172413793105
training,181,182,0,1,0,4,0,1,0,34.0,40.3766,34.17531658927309,104.0,3.0588235294117645
training,182,113,0,1,0,6,0,1,0,127.0,171.3524,142.8760975039664,316.0,2.4881889763779528
training,189,729,1,0,1,0,0,1,0,21.0,19.1577,12.654496456440985,59.0,2.8095238095238093
training,27,1345,1,0,5,0,0,1,0,33.0,47.3502,37.64142627103631,154.0,4.666666666666667
training,55,56,1,0,1,18,1,0,0,29.0,28.4852,19.494159482149406,34.0,1.1724137931034482
training,56,193,1,0,2,2,0,1,0,22.0,18.7146,9.178977084266153,22.0,1.0
training,193,55,1,0,2,2,0,1,0,20.0,15.8279,12.347809857086451,36.0,1.8
training,194,176,0,1,5,5,0,1,0,188.0,227.0983,210.6501904894888,378.0,2.0106382978723403
training,126,31,1,0,5,0,0,1,0,9.0,12.2546,10.485278394585686,34.0,3.7777777777777777
training,196,197,1,0,0,10,1,0,0,46.0,53.2457,40.88570932648618,81.0,1.7608695652173914
training,197,1490,1,0,0,12,1,0,0,62.0,66.18469999999999,46.70705272210569,86.0,1.3870967741935485
training,176,18,0,1,5,8,1,0,0,62.0,88.66210000000001,87.8546246143211,115.0,1.8548387096774197
training,200,1491,1,0,6,7,0,1,0,16.0,13.6755,10.900953172306409,22.0,1.375
training,201,202,0,1,2,22,0,1,0,41.0,47.9336,42.51994614878105,67.0,1.6341463414634143
training,202,1492,0,1,3,0,0,1,0,34.0,36.8404,32.5789001362682,79.0,2.323529411764706
training,203,201,0,1,3,4,0,1,0,87.0,101.1737,69.98684292163382,211.0,2.425287356321839
training,183,184,1,0,4,20,0,1,0,71.0,70.67989999999999,58.48885153719157,110.0,1.5492957746478873
training,184,185,1,0,5,3,0,1,0,30.0,30.5543,27.267176619176286,42.0,1.4
training,185,183,1,0,5,3,0,1,0,56.0,63.349,51.165265208081,91.0,1.625
training,2,421,1,0,6,13,1,0,0,19.0,22.1222,15.618317824896964,46.0,2.421052631578948
training,204,92,1,0,3,11,1,0,0,29.0,29.2015,19.718015458314447,191.0,6.586206896551724
training,57,2,0,1,3,15,1,0,0,103.0,130.1259,101.68616340826225,311.0,3.0194174757281558
training,85,104,1,0,5,17,1,0,0,20.0,23.1358,13.26161552278789,54.0,2.7
training,209,300,0,1,6,2,0,1,0,79.0,79.7951,43.30320731324003,100.0,1.2658227848101269
training,194,30,1,0,6,0,0,1,0,43.0,43.6719,37.30158962603223,69.0,1.6046511627906976
training,30,109,0,1,6,15,1,0,0,1165.0,1562.1977,1236.1681720978993,2276.0,1.953648068669528
training,176,213,0,1,5,21,0,1,0,36.0,47.1525,32.27854810230891,74.0,2.055555555555556
training,210,211,0,1,6,1,0,1,0,63.0,58.9258,52.29544592963147,79.0,1.253968253968254
training,211,1493,0,1,6,3,0,1,0,29.0,32.652,31.27920633270626,42.0,1.4482758620689655
training,212,213,0,1,6,4,0,1,0,53.0,65.0241,60.82862870384971,111.0,2.0943396226415096
training,213,176,0,1,6,6,0,1,0,34.0,46.073,31.524379486716036,66.0,1.9411764705882355
training,14,214,0,1,4,5,0,1,0,159.0,201.2842,157.83487770294818,531.0,3.339622641509434
training,214,215,0,1,4,15,1,0,0,90.0,93.064,67.50701523906972,151.0,1.6777777777777778
training,215,14,0,1,4,18,1,0,0,229.0,274.6673,223.74566692746583,426.0,1.8602620087336244
training,17,1101,1,0,4,2,0,1,0,36.0,46.2234,33.755494495605554,104.0,2.888888888888889
training,219,220,0,1,5,11,1,0,0,61.0,85.80860000000001,78.77971635278523,116.0,1.901639344262295
training,220,221,0,1,5,13,1,0,0,66.0,87.73360000000001,75.59175942886921,145.0,2.196969696969697
training,221,1494,0,1,5,16,1,0,0,36.0,39.3823,28.00266008684752,52.0,1.4444444444444444
training,224,225,0,1,3,3,0,1,0,74.0,96.5963,79.87569958645737,154.0,2.081081081081081
